SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
Champawat,1901,3.9,1.8,0.5,0.1,1.7,0.2,17.1,28.9,11.3,0.3,0,0.6,66.46023041,5.7,2.3,57.5,1
Champawat,1902,0,0.3,1.3,1.4,2.8,4.1,27.6,13.6,9.3,1,0,0,127.7492934,0.3,5.6,54.5,1
Champawat,1903,1.9,0.4,2.2,0.4,0.8,4.9,12.7,19.2,17.6,2.5,0,0.1,123.9818049,2.2,3.4,54.4,2.7
Champawat,1904,1.3,0,1.9,0.4,2.4,16.1,27.1,25.8,8.5,0,1.2,0.6,148.166257,1.3,4.8,77.5,1.9
Champawat,1905,4.8,4.8,1.8,0.5,6.6,11.5,16.4,28.2,8.5,0,0,0.5,169.0748591,9.6,9,64.5,0.5
Champawat,1906,0.8,4,1.6,0.2,2.6,7.5,26.9,20.1,16.8,1.1,0.2,0,165.4654916,4.8,4.4,71.3,1.4
Champawat,1907,1.2,4.5,6.8,1.6,3.3,7.1,18.4,20,4.8,0,0,0,149.4759601,5.6,11.7,50.3,0
Champawat,1908,2,0.9,0,0.4,1,12.6,23.1,23.4,2.3,0,0.1,0.1,133.4064696,2.9,1.4,61.4,0.2
Champawat,1909,3.2,1.9,0,2.2,1.4,15.9,22.4,30.4,2.6,0.8,0,2.8,149.3110011,5.1,3.6,71.2,3.6
Champawat,1910,0.8,3,0.6,0.7,1.9,15.7,30.5,25.2,14.7,9.6,0.1,0.2,186.5415438,3.8,3.2,86.2,9.9
Champawat,1911,5.9,0.3,5.2,0.7,1.8,16.3,12.5,25.9,14.6,3.6,1.1,0,191.0162058,6.3,7.7,69.4,4.6
Champawat,1912,3.7,2.5,1.6,0.7,1.6,6.7,16.7,23.9,10.2,0.1,1.7,0.5,157.8899642,6.2,3.9,57.5,2.3
Champawat,1913,0.4,3.9,2.6,0.6,5.2,21.2,14,17.5,6,0.9,0.4,1.6,144.0991424,4.2,8.4,58.7,2.9
Champawat,1914,0,4.3,3.6,2.1,5.8,10.4,38,29.7,25.8,0.3,1.3,0,195.5081183,4.3,11.5,103.8,1.7
Champawat,1915,1.1,4.2,6.2,1.2,7.2,6.1,23.6,43.3,10.7,0.2,0,0.5,225.6029724,5.2,14.6,83.8,0.7
Champawat,1916,0.2,0.5,0,0.8,1.8,28.5,23.7,20.5,18.1,8.4,0,0,206.6480825,0.7,2.6,90.7,8.4
Champawat,1917,0,1.7,2.4,2.6,8.2,18.9,31.9,19.4,16,4,0,0.8,208.3605249,1.7,13.1,86.3,4.9
Champawat,1918,0.4,0,1.7,3.1,5.3,19.3,25.4,35.3,10.4,0,0,0,206.9556528,0.4,10.1,90.4,0
Champawat,1919,5.5,0.2,1.1,2,1.6,22.3,20.1,12.2,7.8,0.3,0.5,0,174.587427,5.6,4.7,62.4,0.8
Champawat,1920,0.2,0.7,3.2,0,3.4,10.5,23.4,21.3,2.6,1.2,0,0,140.2054137,0.9,6.6,57.8,1.2
Champawat,1921,1.7,0,0.8,0.6,0.1,16.8,24.6,42.9,19.4,2.3,0,0,175.9363737,1.7,1.5,103.8,2.3
Champawat,1922,1,0,0,0.1,0,9.4,28,41.5,20.7,0.1,0,1.5,211.7295084,1,0.1,99.5,1.7
Champawat,1923,1.8,3.9,0,0.7,1.5,7.9,25.7,24.6,8.7,2.4,0.6,1.5,181.6822734,5.7,2.3,66.9,4.5
Champawat,1924,0.4,2.1,0.9,0,0.9,0.8,30.4,26.5,23.6,3.8,0,1.4,170.1188643,2.4,1.8,81.3,5.3
Champawat,1925,1.8,0,0.1,2.6,0.9,17,24.9,14.8,4.9,2.3,0.1,0,160.1047783,1.8,3.6,61.5,2.4
Champawat,1926,0,0.9,5.1,2.4,1.9,1.5,21.6,21.5,7.9,2.4,1.3,0,135.7517896,0.9,9.3,52.4,3.8
Champawat,1927,0.2,4.2,1.6,0.6,3.4,6.8,14.9,14.1,5.3,1.4,2.9,0.1,121.9235023,4.4,5.6,41,4.4
Champawat,1928,1.7,3.9,0.9,1,0.5,7.9,17.9,14.2,3.4,0.2,0.3,0.6,107.9371511,5.6,2.4,43.3,1.1
Champawat,1929,0.3,1.6,1.7,0.6,0.7,3.7,13.9,18.3,4.1,1.5,0,2.7,101.5894015,1.9,3,40,4.2
Champawat,1930,0.2,1.3,0.9,0.7,1.7,7.1,15.3,15.8,2.7,1.7,0.3,0,96.71091398,1.5,3.3,40.9,1.9
Champawat,1931,0,3.6,0.3,0.1,2.7,4.5,11.9,12.9,15.4,4.8,0.3,0.4,104.2693088,3.6,3,44.6,5.5
Champawat,1932,0,0.7,0.7,0.1,1.4,4.2,16.6,18.7,9.1,0.7,0,1.7,110.5574885,0.7,2.2,48.6,2.4
Champawat,1933,1.6,2.6,0.3,2.3,2.3,9.3,23.3,11.4,7.4,5.2,0,0,119.5731567,4.2,4.9,51.4,5.2
Champawat,1934,1.4,0.5,1.1,0.3,1.1,11.3,26.6,15.8,8.1,0,0,1.5,133.550937,1.9,2.5,61.8,1.5
Champawat,1935,3.1,1.1,0.6,1.5,0.4,3.5,24.9,16.8,7.2,0,0.1,0.8,127.8708909,4.2,2.6,52.3,0.9
Champawat,1936,0.2,2.3,1.1,1.7,2.8,11.6,25.9,21.1,9.8,1,0.1,3,140.7149015,2.5,5.7,68.4,4.1
Champawat,1937,0.2,4.5,0.2,1.5,3.5,14,20.2,22,6.6,0.7,0.1,1,155.1378124,4.7,5.3,62.7,1.8
Champawat,1938,3,2.3,0.2,0,3,17.7,22.9,19.7,7.3,0.4,0,0,150.9788249,5.3,3.2,67.6,0.5
Champawat,1939,0.6,2.4,1.4,0.5,0.2,13,19.4,14.5,7.2,3.4,0,0,139.0661982,3,2.1,54.1,3.4
Champawat,1940,1.9,3.9,1.6,0.4,3.8,6.5,18.6,9.8,4.4,0.2,0,1.5,115.139064,5.8,5.8,39.3,1.7
Champawat,1941,1.4,1,0.3,0.4,2.9,11.4,5.9,12.8,6.6,2.9,0,0.8,99.15674453,2.4,3.7,36.7,3.7
Champawat,1942,2.8,2.1,0.4,1.7,0.9,9.3,19.1,17.5,15.7,0.1,0.1,1.9,118.1408602,4.9,3,61.7,2
Champawat,1943,1.3,0.9,0.9,1.2,0.3,6.8,16.7,21,10,0.1,0,0,131.0208141,2.2,2.5,54.6,0.1
Champawat,1944,2.4,2,2.2,1.1,1.9,12,17.1,9.5,5.5,0.5,0.1,0.2,114.1512035,4.4,5.2,44.2,0.9
Champawat,1945,3.1,0.1,0.9,1.3,1.1,5.4,24.1,17.4,12.2,3.2,0.1,0,123.4741067,3.2,3.3,59,3.3
Champawat,1946,0,1.5,0.7,4,6.4,10.7,24.2,14.9,7.6,3,0.2,0.4,142.264255,1.5,11.1,57.4,3.6
Champawat,1947,1.3,1.6,1.8,0.1,2.9,7.4,15.9,12.3,10.7,1.7,0,0.3,129.694447,2.9,4.9,46.4,2
Champawat,1948,0,1.8,3,2.8,2,3.3,15.5,20.5,9.7,2.9,0.1,0.1,117.8583068,1.9,7.8,49,3.1
Champawat,1949,0.1,4.2,1.2,1.5,4,1.7,16.5,17.4,16.2,0.7,0,0.3,125.5697738,4.3,6.6,52,1
Champawat,1950,1.9,1.4,2,0.2,1.2,11.6,22,18.2,3.6,0,0,0.1,126.087957,3.3,3.4,55.4,0.1
Champawat,1951,0.7,1.7,0.9,0.2,1.9,2.6,6.5,13.4,4.1,0.4,1.5,0,96.26882488,2.4,3,26.7,2
Champawat,1952,0.6,1.9,3.2,1.2,1.1,14.7,15.1,20.4,7.5,0.7,0.2,0.2,100.9471119,2.5,5.5,57.7,1.1
Champawat,1953,2,0.3,0.3,0.9,4,10.4,21.9,12.3,9.9,0.3,0,0.4,129.5498999,2.3,5.2,54.5,0.7
Champawat,1954,3.3,3.8,0.5,0.1,0.9,7.1,17,21.9,9.2,4.3,0,0.1,130.9186866,7.1,1.5,55.2,4.5
Champawat,1955,2.1,0.2,1.3,1.4,0.4,6.8,12.1,22.7,10.3,7.1,0,0,132.612788,2.3,3,51.9,7.1
Champawat,1956,0.9,0.7,1.5,0.2,9.3,11.6,20.2,13,8.4,9.5,0,0.9,140.6415912,1.6,11.1,53.2,10.4
Champawat,1957,3.1,0,2.6,1.6,0.7,4.9,16.3,11.5,6,0.4,0.4,1.4,125.286837,3.1,5,38.7,2.2
Champawat,1958,1.4,0.3,1.2,1.5,0.5,3.3,19.1,20.1,7.1,2.1,0,1.2,106.7679724,1.7,3.1,49.6,3.3
Champawat,1959,1.1,1.9,2,1.5,1.9,11.1,17.9,19.3,13.3,6.3,0.4,0,134.4962058,3,5.4,61.6,6.7
Champawat,1960,1.1,0,2,0.6,0.5,7.5,15,21.8,8.4,3.6,0,0.2,137.4512366,1.1,3.1,52.7,3.8
Champawat,1961,2.1,3.6,0.4,0.2,2.1,11.1,15.3,20,14.2,3.4,0.2,1.2,134.3711905,5.7,2.7,60.5,4.8
Champawat,1962,2.1,3,2.5,0.3,0.5,6.7,9.8,13,10.3,0.3,1,0.3,123.4683333,5.1,3.3,39.7,1.6
Champawat,1963,0.4,0.5,4,1.6,1.9,11.7,24.9,19.6,12.3,1.1,0.4,1.1,129.2274501,1,7.5,68.4,2.6
Champawat,1964,1,1.1,1.1,2.2,3.1,11.3,25,30.3,19,0.3,0,1.1,174.9403703,2.1,6.4,85.6,1.4
Champawat,1965,1.5,4.7,2.8,2.9,0.9,0,17,16.8,7.9,0.5,0,0,150.5216068,6.2,6.6,41.6,0.5
Champawat,1966,0,1.7,0.5,0.1,2,14.6,21.3,15.4,4.7,2.2,0,0.2,117.6841321,1.7,2.5,56,2.4
Champawat,1967,0,0.1,3.6,1.2,0.6,7.6,29.1,25.9,12.2,1.1,0.9,1.8,146.7356375,0.2,5.4,74.7,3.7
Champawat,1968,3.7,2.7,2.3,1.8,0,19.3,17.1,12.1,8.1,0.2,0,1,152.1768497,6.4,4.1,56.5,1.2
Champawat,1969,1.8,0.9,2.4,1.6,1.9,5.7,20.6,15.7,14,1.9,0,0,134.5517805,2.7,5.8,55.9,1.9
Champawat,1970,2.2,1.5,0.6,0.1,2.7,8.5,13,18.4,5.6,4.1,0,0,123.0466513,3.7,3.3,45.5,4.1
Champawat,1971,0.7,2.7,0.8,3.3,5.6,13.2,21.2,20.8,8.7,0,0.4,0,134.0459524,3.4,9.7,63.9,0.4
Champawat,1972,0.5,2.2,0.9,1.6,0,3,14.8,6.9,7.3,0.2,0,0,114.7650156,2.7,2.5,31.9,0.2
Champawat,1973,0.3,2.7,8.7,0,3.3,1.9,6.2,0.4,0,0,0,0,60.76314159,3,11.9,8.5,0
Champawat,1974,0,0.2,0.2,0,0,0,13.2,18.9,8.3,0.8,0.1,0.9,66.10415515,0.2,0.2,40.4,1.8
Champawat,1975,0.6,1.8,0,0,2.7,12.2,20,13,15.7,0,0,0,108.7734946,2.4,2.7,61,0
Champawat,1976,0,0,0,0,0,1.2,22,3.3,0,0,0,0,92.68023041,0,0,26.6,0
Champawat,1977,0.5,0.1,0,0.3,0,0.4,0.9,0.3,0.4,0,0,0.1,29.35460829,0.5,0.3,1.9,0.1
Champawat,1978,0.7,2.9,6.3,1.7,4.4,19,23.3,23.2,10.8,1.2,3,0.2,99.5474808,3.6,12.5,76.3,4.4
Champawat,1979,1,1.4,1.5,0.5,4,11.6,16.4,14.3,1.9,0.8,0.3,1.4,151.7822273,2.3,6,44.2,2.5
Champawat,1980,0.6,1.4,1.4,0.1,0.8,1.4,15.3,13.5,5.4,2.9,0,0.2,98.12650352,2,2.4,35.7,3.1
Champawat,1981,2.9,1.1,2.3,1.1,4.9,8.7,20,10.8,3.8,0,1.2,0.8,100.8764882,4,8.4,43.4,2
Champawat,1982,1.7,1.6,3.4,1.9,0.6,7.5,14.3,19.3,28.1,0.3,0.2,1,137.810937,3.3,5.9,69.3,1.5
Champawat,1983,3.5,0.6,1.8,4.4,4,7.1,12.6,17.1,18.2,1.7,0,0.3,151.4388326,4.2,10.2,55,2
Champawat,1984,0.4,4.8,1.1,1.1,3.3,18.9,16.5,17,10.5,0.2,0.2,0.4,145.6986514,5.1,5.5,62.9,0.7
Champawat,1985,1.5,0.4,0.3,0.9,5.2,6.2,17.5,25.2,9.4,11.4,0,2.3,154.6728066,1.8,6.5,58.3,13.7
Champawat,1986,0,0.8,1.5,1.9,10.2,6,17.4,12.9,9.3,2.8,0.4,3.1,146.5706375,0.8,13.6,45.5,6.3
Champawat,1987,0.9,3.2,1.4,3.6,6.4,1.6,10.4,10,6,0.3,0,0.7,110.944424,4.1,11.4,28.1,1
Champawat,1988,0.8,2.3,3,1.3,2.2,4.1,15.8,9.9,6.3,1.8,0,0.1,92.29203242,3.1,6.4,36.2,1.9
Champawat,1989,3.5,0.4,1.3,0,1.1,1.8,2.8,12.4,3.8,0.6,0.5,0.2,75.96450554,3.8,2.5,20.8,1.2
Champawat,1990,0.1,2.8,1.9,0.6,3.8,2,4.4,4.1,2.2,0.3,0.2,0.5,51.31706605,2.9,6.3,12.7,1
Champawat,1991,0.9,1.7,1.3,0.9,0.3,4.6,8.2,7.5,2.9,0.1,0,0.1,51.47523041,2.6,2.5,23.2,0.2
Champawat,1992,0.2,0.4,2.1,0,0.5,14.8,3.8,2.3,6.7,2.1,0.3,0,61.92087902,0.6,2.6,27.7,2.5
Champawat,1993,2.1,2.7,4,1.1,4,6.5,10.5,18.3,19,0.2,0,0,101.6161786,4.8,9.1,54.2,0.2
Champawat,1994,1.5,5,0.5,1.7,3.4,6.8,20.4,16.5,4,0.4,0.1,0.9,129.3383564,6.5,5.6,47.7,1.4
Champawat,1995,3.6,3.6,3.5,1.3,2.3,9.7,15.4,21.2,2.1,0,0,0.3,124.0595469,7.1,7.1,48.4,0.3
Champawat,1996,1.3,1.5,0.2,0.7,0.3,9.6,9.3,14.7,4.6,0.7,0,0,105.8530272,2.8,1.2,38.1,0.7
Champawat,1997,3.1,0,0.1,0.2,1.3,7.7,12.6,0.1,0.1,0.1,0,0.1,68.22392579,3.2,1.5,20.5,0.2
Champawat,1998,0.1,1.4,2,2.8,2.6,5.8,11.9,0.1,5.4,0.1,0,0,57.52006144,1.5,7.3,23.2,0.1
Champawat,1999,0.1,0.3,0,0.1,2.7,4.8,10.6,8.6,7,1.8,0,0.1,68.29108295,0.3,2.8,31.1,1.9
Champawat,2000,0.6,3.2,1.5,0.8,4.6,17.3,28.2,33.3,9.7,0.3,0.7,0.1,136.3463118,3.8,6.8,88.6,1.1
Champawat,2001,1.4,1.1,2.6,3.3,9.3,18,31.6,25.9,8.2,0.3,0,0.4,202.4189155,2.5,15.2,83.8,0.7
Champawat,2002,2.4,6.2,4.5,3,10.8,6.5,23.4,25.8,19.2,0.8,0.5,0.5,205.9209217,8.7,18.3,74.9,1.8
Champawat,2003,1.8,7.4,3.8,2.6,4.2,4.4,46.8,32.4,13.9,0,0.1,0.3,221.5545853,9.3,10.6,97.5,0.5
Champawat,2004,1.6,0.3,0,3.6,6,6.8,34.2,22.8,3.3,0.5,0,0.2,197.0593384,1.9,9.6,67,0.7
Champawat,2005,3.7,4.2,2.5,0.8,1.7,3.2,14,19.7,12.4,0.9,0.2,0.2,142.7706518,7.9,5,49.3,1.3
Champawat,2006,1.3,0.2,2.5,2.1,4,5,12,11.7,4.9,0.5,0.2,0.5,108.4556452,1.5,8.6,33.6,1.2
Champawat,2007,0,3.7,5.3,1.7,4.6,9.7,21.2,19.1,12.9,1.3,0.5,0.4,125.3509601,3.7,11.6,62.9,2.2
Champawat,2008,3.9,2.6,2,9.3,1.7,14.8,19.1,15.7,12.5,1.2,0.1,0,163.4534491,6.5,13,62.2,1.3
Champawat,2009,0,0.3,0.1,1.2,2.4,4.1,11.8,12.6,12.1,9.8,0.6,0.1,138.0750697,0.3,3.7,40.6,10.5
Champawat,2010,0.1,2.6,0,0.4,2.2,2.8,16.1,13.1,15.1,0.4,0.1,0.4,108.2757604,2.7,2.6,47,0.9
Champawat,2011,1.2,2.5,0.8,1.3,1.9,8.9,9.3,17.4,3.7,0.1,0,0.1,100.3189708,3.6,4,39.4,0.1
Champawat,2012,1.5,0.2,0.9,1.5,0.2,0.7,9.2,11.9,7.8,0,0,0.2,81.10957042,1.7,2.5,29.6,0.2
Champawat,2013,2.7,5.7,0.6,1.6,1.3,13.3,14.4,9.3,3.9,0.9,0.1,0.2,88.00534615,8.4,3.5,40.9,1.2
Champawat,2014,1.6,3.3,2.8,1.1,1.9,3.6,15.4,7.2,3.9,1.7,0,2,98.52702765,4.9,5.8,30.1,3.7
Champawat,2015,2.5,2.7,4.7,2.2,1.9,7.8,8.2,7.5,1.6,0.7,0,0.2,84.60917819,5.1,8.8,25.2,0.9
Champawat,2016,0.3,0.9,1.2,0.4,6.4,11.3,25.9,14.1,7.9,2.3,0,0.2,111.1426098,1.3,8,59.3,2.5
Champawat,2017,0.8,0.6,1.8,3.2,4.9,8.4,30.1,20.9,5.4,1,0,0.7,149.0830706,1.5,9.9,64.9,1.7
Champawat,2018,0.7,0.7,1.8,2.2,4.2,11.6,24.8,21.2,11.2,0.5,0.7,0.1,157.8089631,1.4,8.2,68.9,1.3
Champawat,2019,3.7,5.4,1.5,2.7,2,6.6,20.7,18.6,16.6,2.4,0.1,1.9,161.9138095,9.1,6.2,62.5,4.4
Champawat,2020,5.3,2.2,3.3,3,3.6,17.9,33.2,21.2,5.9,0,0,0,177.6131599,7.5,9.8,78.2,0
Champawat,2021,0.9,0.5,0.3,2.5,7.5,13.7,19,23.9,12.7,12.2,0,1.1,189.6001645,1.3,10.2,69.2,13.3
